#EventID,Time,month,Latitude,Longitude,DepthInKm,Author,MagType,mag_range,Magnitude,EventLocationName,EventType
29286911,2021-12-23T22:45:23.170000,2021-12,37.4682,14.904,10.5,BULLETIN-INGV,ML,'2-3,2.3,8 km SW Motta Sant'Anastasia (CT),earthquake
29287161,2021-12-23T22:53:15.580000,2021-12,37.4477,14.9002,10.2,BULLETIN-INGV,ML,'2-3,2.7,10 km SW Motta Sant'Anastasia (CT),earthquake
29288381,2021-12-24T00:42:24.970000,2021-12,42.7915,13.4093,20.3,BULLETIN-INGV,ML,'2-3,2,2 km N Acquasanta Terme (AP),earthquake
29289601,2021-12-24T01:47:45.750000,2021-12,39.9977,15.6493,291.7,BULLETIN-INGV,ML,'2-3,2.6,"Golfo di Policastro (Salerno, Potenza)",earthquake
29291261,2021-12-24T05:03:23.230000,2021-12,38.5177,16.1097,14.9,BULLETIN-INGV,ML,'2-3,2,1 km NE Serrata (RC),earthquake
29291331,2021-12-24T05:04:54.040000,2021-12,38.5102,16.1122,17.9,BULLETIN-INGV,ML,'2-3,2.2,1 km E Serrata (RC),earthquake
29291791,2021-12-24T06:14:44.630000,2021-12,37.4752,14.9122,18,BULLETIN-INGV,ML,'3-4,3.2,7 km SW Motta Sant'Anastasia (CT),earthquake
29291951,2021-12-24T06:29:21.560000,2021-12,37.4712,14.9208,10.4,BULLETIN-INGV,ML,'2-3,2,6 km SW Motta Sant'Anastasia (CT),earthquake
29293881,2021-12-24T08:23:44.850000,2021-12,37.6943,15.132,7.6,BULLETIN-INGV,ML,'2-3,2.2,1 km NW Santa Venerina (CT),earthquake
29295041,2021-12-24T09:19:53.340000,2021-12,37.7003,15.143,8,BULLETIN-INGV,ML,'3-4,3.5,1 km N Santa Venerina (CT),earthquake
29295161,2021-12-24T09:23:56.190000,2021-12,37.6953,15.1308,7.7,BULLETIN-INGV,ML,'2-3,2,1 km NW Santa Venerina (CT),earthquake
